,Wavelength,Reference,Raw_Irr_000,Raw_Irr_001,Raw_Irr_002,Raw_Irr_003,Irr_000,Irr_001,Irr_002,Irr_003,Avg_Irr
190,607.93,426116.83,445399.29,401284.33,395353.71,391103.96,0.44539929,0.40128433,0.39535371,0.39110396000000003,0.40828532250000005
191,609.53,423734.84,442439.77,399408.91,392930.47,388770.29,0.44243977,0.39940890999999995,0.39293047,0.38877028999999996,0.40588736000000003
192,611.13,422891.72,441823.39,398926.38,392499.74,388384.16,0.44182339000000004,0.39892638,0.39249974,0.38838416,0.4054084175
193,612.72,420134.91,438277.24,396018.5,389729.99,385359.48,0.43827724,0.3960185,0.38972998999999997,0.38535948,0.4023463025
194,614.32,417668.84,436329.52,393649.85,387419.24,383493.96,0.43632952,0.39364984999999997,0.38741924,0.38349396,0.4002231425
195,615.92,414641.25,432829.43,390769.27,384501.72,380507.7,0.43282943,0.39076927,0.38450172,0.3805077,0.39715203
196,617.52,419467.43,438067.48,395824.83,389574.49,385377.4,0.43806748,0.39582483,0.38957449,0.38537740000000004,0.40221105
197,619.11,425016.87,443139.81,400241.96,394033.45,389894.44,0.44313981,0.40024196,0.39403345,0.38989444,0.40682741499999997
198,620.71,425248.27,443837.88,400124.83,394198.12,389572.4,0.44383788,0.40012483000000004,0.39419812,0.38957240000000004,0.4069333075
199,622.3,420255.88,438702.01,395802.06,389935.4,385620.03,0.43870201000000003,0.39580206,0.38993540000000004,0.38562003,0.40251487500000005
200,623.9,414921.5,432475.45,390774.52,384675.97,380445.44,0.43247545000000004,0.39077452,0.38467597,0.38044544,0.39709284499999997
201,625.49,411797.71,429266.94,387453.14,381514.14,377474.55,0.42926694,0.38745314000000003,0.38151414,0.37747454999999996,0.39392719249999997
202,627.08,407710.83,425774.96,384104.59,378457.92,373830.78,0.42577496000000004,0.38410459,0.37845792,0.37383078000000003,0.3905420625
203,628.67,404802.23,421994.6,380845.64,375106.31,371006.79,0.4219946,0.38084564000000004,0.37510631,0.37100679,0.38723833500000004
204,630.26,403616.15,420422.98,379920.04,373813.06,370002.5,0.42042298,0.37992003999999996,0.37381306,0.3700025,0.386039645
205,631.85,403399.31,421165.15,379819.65,374055.73,369913.7,0.42116515000000004,0.37981965,0.37405573,0.3699137,0.3862385575
