WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_003,WMS_50_PANEL_003,WMS_50_PANEL_003,WAVELENGTH,REFERENCC,WMS_50_WATER_000,WMS_50_WATER_001,WMS_50_WATER_002,SKY
423.99,381057.13,347471.68,423.99,381057.13,434972.59,423.99,381057.13,338088.61,423.99,381057.13,366833.58,423.99,150017.45,60293.92,423.99,150017.45,30910.29,423.99,150017.45,10252.08,423.99,150017.45,69867.74,423.99,70064,821,809,852,26454
425.68,381838.05,348265.81,425.68,381838.05,436070.12,425.68,381838.05,338452.39,425.68,381838.05,367597.52,425.68,149704.67,60410.67,425.68,149704.67,30907.36,425.68,149704.67,10215.84,425.68,149704.67,69053.79,425.68,70624,823,810,860,26330
427.37,378757.22,344947.42,427.37,378757.22,432532.29,427.37,378757.22,335256.24,427.37,378757.22,364111.16,427.37,149685.35,60496.01,427.37,149685.35,30948.06,427.37,149685.35,10203.13,427.37,149685.35,68251.21,427.37,70832,830,817,859,26050
429.06,377957.13,344225.24,429.06,377957.13,432771.45,429.06,377957.13,334629.09,429.06,377957.13,363635.61,429.06,149393.05,60473.79,429.06,149393.05,30879.27,429.06,149393.05,10155.87,429.06,149393.05,67268.49,429.06,70976,827,818,859,25740
430.74,387759.6,352469.28,430.74,387759.6,443515.41,430.74,387759.6,342706.59,430.74,387759.6,372500.87,430.74,152611.75,61928.89,430.74,152611.75,31620.39,430.74,152611.75,10349.19,430.74,152611.75,67877.37,430.74,73024,853,844,888,26080
432.43,414711.83,376978.27,432.43,414711.83,475028.35,432.43,414711.83,366544.37,432.43,414711.83,398775.12,432.43,164118.26,66679.74,432.43,164118.26,34054.36,432.43,164118.26,11125.94,432.43,164118.26,72243.83,432.43,78992,916,910,959,27902
434.11,430558.28,391654.12,434.11,430558.28,493115.62,434.11,430558.28,380004.05,434.11,430558.28,413471.52,434.11,170539.03,69376.29,434.11,170539.03,35473.11,434.11,170539.03,11551.69,434.11,170539.03,74412.38,434.11,83152,963,953,1005,29082
435.79,446057.18,405544.24,435.79,446057.18,511666.03,435.79,446057.18,393791.34,435.79,446057.18,429119.18,435.79,176760.92,72000.27,435.79,176760.92,36777.68,435.79,176760.92,11971.97,435.79,176760.92,76337.22,435.79,87984,1017,1008,1065,30432
437.47,451797.84,410504.13,437.47,451797.84,518503.07,437.47,451797.84,398609.37,437.47,451797.84,434158.46,437.47,179484.7,73124.65,437.47,179484.7,37440.5,437.47,179484.7,12142.41,437.47,179484.7,76806.21,437.47,91424,1059,1045,1109,31292
439.15,459904.78,417802.22,439.15,459904.78,528058.32,439.15,459904.78,405171.44,439.15,459904.78,442076.98,439.15,182982.24,74626.24,439.15,182982.24,38184.31,439.15,182982.24,12367.16,439.15,182982.24,77445.28,439.15,95744,1110,1098,1161,32382
440.83,478596.69,434089.51,440.83,478596.69,549692.58,440.83,478596.69,421437.4,440.83,478596.69,459779.08,440.83,190932.79,77753.47,440.83,190932.79,39866.15,440.83,190932.79,12904.61,440.83,190932.79,80094.28,440.83,102016,1181,1171,1238,34174
442.51,492964.99,447531.58,442.51,492964.99,566919.1,442.51,492964.99,433926.52,442.51,492964.99,473680.75,442.51,197396.19,80307.92,442.51,197396.19,41220.97,442.51,197396.19,13321.89,442.51,197396.19,82088.88,442.51,108224,1251,1243,1312,35904
